2006年11月9号 2006年11月9日
一往深情 一往情深
一很大棒 一根大棒
一德弌心 一德一心
一心二甪 一心二用
一心圥二 一心无二
一心天二 一心无二
一心弌意 一心一意
一心等持 一心等待
一心赴在 一心扑在
一快儿 一块儿
一快去 一块去
一快巨石 一块巨石
一快金属 一块金牌
一快面包 一块面包
一忽儿到 一会儿到
一忽儿就 一会儿就
一怒这下 一怒之下
一怒面去 一怒而去
一思不苟 一丝不苟
一恍就是 一晃就是
一惊一咋 一惊一乍
一惊一昨 一惊一乍
一惊一炸 一惊一乍
一惊一诈 一惊一乍
一惊弌乍 一惊一乍
一惯作风 一贯作风
一愁不展 一筹莫展
一愁莫展 一筹莫展
一意弧行 一意孤行
一憧房子 一幢房子
一成不変 一成不变
一成不娈 一成不变
一成木变 一成不变
一扁吃 一边吃
一手一是 一手一足
一手弌足 一手一足
一手擎兲 一手擎天
一手擎无 一手擎天
一手擦腰 一手叉腰
一手楼着 一手搂着
一手楼过 一手搂过
一扔旧贯 一仍旧贯
一扫阴霆 一扫阴霾
一扫面光 一扫而光
一扫面空 一扫而空
一扬浩劫 一场浩劫
一技烟 一支烟
一技箭 一支箭
一技红梅 一枝红梅
一技红蔷薇 一枝红蔷薇
一技花 一枝花
一技香烟 一支香烟
一把乎 一把手
一把位住 一把拉住
一把刚刀 一把钢刀
一把堆开 一把推开
一把声音 一个声音
一把外伞 一把雨伞
一把很大的化 一把很大的花
一把掌 一巴掌
一把搂往 一把搂住
一把椎开 一把推开
一把楼住 一把搂住
一抔黄圡 一抔黄土
一抠非常非常的黏 一抠非常非常地黏
一抹口袋 一摸口袋
一抹平川 一马平川
一抹绊红 一抹绯红
一抹绿意埔染大地 一抹绿意铺染大地
一抹降红 一抹绛红
一抺斜阳 一抹斜阳
一抺葱绿 一抹葱绿
一抺领悟 一抹领悟
一拄紫香 一炷紫香
一担美国阻断 一旦美国阻断
一拉罐 易拉罐
一拍即和 一拍即合
一拍既合 一拍即合
一拍桌于 一拍桌子
一拍桌孑 一拍桌子
一拔人 一拨人
一拔又一拔 一拨又一拨
一招一势 一招一式
一招不慎满盘皆输 一着不慎满盘皆输
一招至敌 一招制敌
一招险棋 一着险棋
一招鲜，吃遍兲 一招鲜，吃遍天
一拥面上 一拥而上
一拥面入 一拥而入
一拥面出 一拥而出
一拳注定 一拳柱定
一挥而蹴 一挥而就
一挥面就 一挥而就
一振哄笑 一阵哄笑
一挺纸飞机 一架纸飞机
一捆一梱的柴草 一捆一捆的柴草
一捉摸 一琢磨
一损俱损，弌荣俱荣 一损俱损，一荣俱荣
一掌批过去 一掌劈过去
一探就究 一探究竟
一揽众山小 一览众山小
一揽和 一搅和
一搭両用儿 一搭两用儿
一搭两甪儿 一搭两用儿
一搭俩用儿 一搭两用儿
一搭唡用儿 一搭两用儿
一摔头 一甩头
一支叫声最好的黄雀 一只叫声最好的黄雀
一支咽 一支烟
一支大白狐狸 一只大白狐狸
一支姻 一支烟
一支手套 一只手套
一支手指 一只手指
一支手臂 一只手臂
一支曲孑 一支曲子
一支渔船 一只渔船
一支狗 一只狗
一支眼 一只眼
一支短抢 一支短枪
一支簪孑 一支簪子
一支簮子 一支簪子
一支红杏 一枝红杏
一支红缨枪 一枝红缨枪
一支翅膀 一只翅膀
一支胳膊 一只胳膊
一支船 一只船
一支花 一枝花
一支迎春花 一枝迎春花
一支香蕉 一只香蕉
一支鹭鸟 一只鹭鸟
一支鹰 一只鹰
一支黄皮子 一只黄皮子
一整天水乐 一整天睡了
一文不明 一文不名
一斗会自然 一斗合自然
一斗和自然 一斗合自然
一断时间 一段时间
一断距离 一段距离
一方水土养一方亼 一方水土养一方人
一方水土养弌方人 一方水土养一方人
一方水圡养一方人 一方水土养一方人
一方氺土养一方人 一方水土养一方人
一方而是 一方面是
一旁符合 一旁附和
一无事处 一无是处
一无到晚 一天到晚
一无反顾 义无反顾
一无所冇 一无所有
一无星斗 一天星斗
一既不振 一蹶不振
一日不见，如隔亖秋 一日不见，如隔三秋
一日之计在干晨 一日之计在于晨
一日亖复 一日三复
一日亖餐 一日三餐
一日天常 一旦无常
一日夫妻百日思 一夜夫妻百日恩
一日木见，如隔三秋 一日不见，如隔三秋
一旦圥常 一旦无常
一旦天常 一旦无常
一旦尢常 一旦无常
一旦投人 一旦投入
一旬俗话 一句俗话
一时一样 一模一样
一时亖刻 一时三刻
一时半载 一时半会
一时反映不过来 一时反应不过来
一时圥两 一时无两
一时尢两 一时无两
一时弌刻 一时一刻
一时性起 一时兴起
一时无両 一时无两
一时无俩 一时无两
一时无唡 一时无两
一时气忿 一时气愤
一时疏急 一时疏忽
一时话塞 一时语塞
一明惊人 一鸣惊人
一昧包容 一味包容
一昧固执 一味固执
一昧忍让 一味忍让
一昧指责 一味指责
一昧说好话 一味说好话
一是弌，二是二 一是一，二是二
一晚面条 一碗面条
一晦一朋 一晦一明
一晦弌明 一晦一明
一暮里 一幕里
一曰万几 一日万几
一曰三复 一日三复
一曰三餐 一日三餐
一曰不作，一曰不食 一日不作，一日不食
一曰不作，百曰不食 一日不作，百日不食
一曰不害羞，三曰吃饱饭 一日不害羞，三日吃饱饭
一曰之计在于晨 一日之计在于晨
一曰之长 一日之长
一曰之雅 一日之雅
一曰九迁 一日九迁
一曰千丈 一日千丈
一曰千里 一日千里
一曰夫妻百曰恩 一日夫妻百日恩
一曲衰歌 一曲哀歌
一曾皮 一层皮
一月半载 一年半载
一有两个 已有两个
一望圥尽 一望无尽
一望圥边 一望无边
一望圥际 一望无际
一望天尽 一望无尽
一望天际 一望无际
一望尢尽 一望无尽
一望尢际 一望无际
一望无遗 一望无垠
一望无银 一望无垠
一望面知 一望而知
一朝一日 一朝一夕
一朝之愤 一朝之忿
一朝兲子一朝臣 一朝天子一朝臣
一朝列祖 一朝烈祖
一朝天孑一朝臣 一朝天子一朝臣
一朝天孒一朝臣 一朝天子一朝臣
一朝天孓一朝臣 一朝天子一朝臣
一朝弌夕 一朝一夕
一朝权茬手，便把令来行 一朝权在手，便把令来行
一木做，二不休 一不做，二不休
一木做，二木休 一不做，二不休
一朩难支 一木难支
一本万历 一本万利
一本力利 一本万利
一本正径 一本正经
一本难支 一木难支
一朵刚搞下 一朵刚摘下
一朵摇弋的小花 一朵摇曳的小花
一杆信众 一干信众
一杆子打死 一竿子打死
一杆抬秤 一杆台秤
一杆钓到了三条鱼 一竿钓到了三条鱼
一束黄致瑰 一束黄玫瑰
一条儿童衬衣 一件儿童衬衣
一条刺 一根刺
一条叉道 一条岔道
一条小逢 一条小缝
一条巨莽 一条巨蟒
一条桥 一座桥
一条毯于 一条毯子
一条环型的道路 一条环形的道路
一条界限 一条界线
一条秘道 一条密道
一条脚 一条腿
一条蚂蝗 一条蚂蟥
一条钱上 一条线上
一条韧性的览绳 一条韧性的缆绳
一杯土 一抔土
一杯暖水 一杯温水
一杯泥土 一抔泥土
一杯荼 一杯茶
一杯香摈 一杯香槟
一杯黄土 一抔黄土
一杳杳钞票 一沓沓钞票
一板一服 一板一眼
一枕黄梁 一枕黄粱
一枝之长 一技之长
一枝军队 一支军队
一枝口红 一支口红
一枝圆珠笔 一支圆珠笔
一枝枪 一支枪
一枝步枪 一支步枪
一枝毛笔 一支毛笔
一枝猎枪 一支猎枪
一枝笔 一支笔
一枝笛子 一支笛子
一枝草 一枝花
一枝萧 一支箫
一枝重要力量 一支重要力量
一枝钢笔 一支钢笔
一枝队伍 一支队伍
一枝饱蘸墨彩的画笔 一支饱蘸墨彩的画笔
一架山 一座山
一架马车 一驾马车
一柱心香 一炷心香
一柱心香缭绕 一炷心香缭绕
一柱擎兲 一柱擎天
一柱清香 一炷清香
一柱香 一炷香
一柱高香 一炷高香
一栋房孑 一栋房子
一栖不両雄 一栖不两雄
一栖不俩雄 一栖不两雄
一栖不唡雄 一栖不两雄
一栖丕两雄 一栖不两雄
一栖木两雄 一栖不两雄
一株好笔 一支好笔
一样么 一样吗
一样罗 一样啰
一根像皮管 一根橡皮管
一根头毛 一根头发
一根棍于 一根棍子
一根棍孑 一根棍子
一根毛巾 一块毛巾
一根线连起一窜梦 一根线连起一串梦
一根袋子 一根带子
一根铁签 一根铁扦
一桂鞭 一挂鞭
一桌子饭莱 一桌子饭菜
一桌莱 一桌菜
一棍了打死 一棍子打死
一棍予打死 一棍子打死
一棍于打死 一棍子打死
一棍孑打死 一棍子打死
一棍孒打死 一棍子打死
一棍孓打死 一棍子打死
一棍干打死 一棍子打死
一棵种子 一颗种子
一椿婚姻 一桩婚姻
一椿罪行 一桩罪行
一楝公寓 一栋公寓
一楞一楞 一愣一愣
一概不间 一概不问
一概面论 一概而论
一榻糊涂 一塌糊涂
一槌定音 一锤定音
一模弌样 一模一样
一樽金佛 一尊金佛
一次体公 一次体会
一次叉一次 一次又一次
一次性投人 一次性投入
一正圧百邪 一正压百邪
一步一趋 亦步亦趋
一步步逼进 一步步逼近
一步登兲 一步登天
一段则间 一段时间
一段对间 一段时间
一段时同 一段时间
一段活 一段话
一殷傲气 一股傲气
一殷无二 一般无二
一殷见识 一般见识
一毛不陪 一毛不赔
一毛木拔 一毛不拔
一毫木差 一毫不差
一氺之隔 一水之隔
一汪死水 一潭死水
一沐亖捉发 一沐三捉发
一泄千里 一泻千里
一泡烟 一包烟
一波亖折 一波三折
一波末平一波又起 一波未平一波又起
一注香 一炷香
一泼又起 一波又起
一泼尿 一泡尿
一津扣上 一律扣上
一涌水 一桶水
一涌而上 一拥而上
一涌而入 一拥而入
一涌而至 一拥而至
一淸二楚 一清二楚
一淸二白 一清二白
一淸如水 一清如水
一清一楚 一清二楚
一清大早 一大清早
一清如氺 一清如水
一清而楚 一清二楚
一湾新月 一弯新月
一溜烟的往家跑 一溜烟地往家跑
一滩事 一摊事
一滩水印在 一摊水印在
一滩污水 一摊污水
一滩泥 一摊泥
一滩清水 一摊清水
一滩滩 一摊摊
一滩烂泥 一摊烂泥
一滩牛油 一摊牛油
一滩眼泪 一摊眼泪
一滩稀泥 一摊稀泥
一滩稠乎 一摊稠乎
一滩血 一摊血
一滩酱色汁液 一摊酱色汁液
一滩雨水 一摊雨水
一滩鲜血 一摊鲜血
一滴一滴的出来 一滴一滴地出来
一潭死氺 一潭死水
一激凌 一激灵
一激愣 一激灵
一灌啤酒 一罐啤酒
一炊一啄 一饮一啄
一炊而尽 一饮而尽
一炮打红 一炮打响
一点也木着急 一点也不着急
一点弌滴 一点一滴
一点执扭的性情 一点执拗的性情
一点蒜沫 一点蒜末
一点鹅 一点饿
一煽门 一扇门
一爆十寒 一曝十寒
一爿丹心 一片丹心
一爿冰心 一片冰心
一爿天 一片天
一爿树叶 一片树叶
一爿汪洋 一片汪洋
一爿痴心 一片痴心
一爿真心 一片真心
一片净上 一片净土
一片卖芒 一片麦芒
一片吹呼 一片欢呼
一片寂黑 一片漆黑
一片时子 一片叶子
一片汪洋都下见 一片汪洋都不见
一片沈寂 一片沉寂
一片混饨 一片混沌
一片狼迹 一片狼藉
一片白云漂浮在岭上 一片白云飘浮在岭上
一片赃乱 一片脏乱
一片迷迷中 一片迷蒙中
一片静肃 一片肃静
一版一眼 一板一眼
一物木知 一物不知
一狐之掖 一狐之腋
一獗不振 一蹶不振
一率不 一律不
一环套一坏 一环套一环
一环套弌环 一环套一环
一现昙花 昙花一现
一瓢羹 一杯羹
一瓶弌钵 一瓶一钵
一生冷汗 一身冷汗
一生守侯 一生守候
一生弌世 一生一世
一用而上 一拥而上
一男付书至 一男附书至
一男复书至 一男附书至
一番活 一番话
一番说词 一番说辞
一番风顺 一帆风顺
一病木起 一病不起
一痛发泄 一通发泄
一痤大屋 一座大屋
一瘫烂泥 一摊烂泥
一瘸一病 一瘸一拐
一瘸弌拐 一瘸一拐
一登腿 一蹬腿
一白遮白丑 一白遮百丑
一百万无钱 一百万元钱
一百英寻 一百英里
一皮白马 一匹白马
一盏清灯，一柱檀香 一盏青灯，一炷檀香
一盏茶的功夫 一盏茶的工夫
一盏荼 一盏茶
一盖而论 一概而论
一盖马灯 一个马灯
一盘冷水 一盆冷水
一盘炒莱 一盘炒菜
一盘莱 一盘菜
一目也然 一目了然
一目了解 一目了然
一目孑然 一目了然
一目孒然 一目了然
一直一来 一直以来
一直乌鸦 一只乌鸦
一直再想 一直在想
一直匕首 一支匕首
一直千到 一直干到
一直在家里呆着 一直在家里待着
一直在我你 一直在找你
一直在火热的进行中 一直在火热地进行中
一直大手 一只大手
一直宠物 一只宠物
一直手臂 一只手臂
一直是个迷 一直是个谜
一直是由演员一边表演 一直是有演员一边表演
一直曲子 一支曲子
一直注释着 一直注视着
一直町着 一直盯着
一直白猫 一只白猫
一直胳膊 一只胳膊
一直苍蝇 一只苍蝇
一直车塞 一直塞车
一直鸵鸟 一只鸵鸟
一直黑猫 一只黑猫
一相情愿 一厢情愿
一相输愿 一厢情愿
一看使知 一看便知
一真名存实亡 一直名存实亡
一真喧闹 一阵喧闹
一真沿用 一直沿用
一眨丕眨 一眨不眨
一眨木眨 一眨不眨
一眨眼功大 一眨眼工夫
一眨眼功夫 一眨眼工夫
一眨那 一刹那
一眼看就 看一眼就
一着一式 一招一式
一着木慎，全盘皆输 一着不慎，全盘皆输
一睑疑惑 一脸疑惑
一睑纳闷 一脸纳闷
一睑羞愧 一脸羞愧
一睹墙 一堵墙
一瞑木视 一瞑不视
一瞬见 一瞬间
一短时间 一段时间
一石击起千层浪 一石激起千层浪
一砖一瓦磊起来了 一砖一瓦垒起来了
